Presion,Temp,X_1,X_2,Y_1,Y_2,,,
0.4,385.45,1,0,1,0,,,
0.4,384.09,0.99,0.01,0.966,0.034,,,
0.4,383.61,0.979,0.021,0.934,0.066,,,377.93
0.4,383.5,0.979,0.021,0.934,0.066,,,392.17
0.4,382.89,0.959,0.041,0.893,0.107,,,
0.4,382.36,0.945,0.055,0.853,0.147,,,
0.4,381.87,0.93,0.07,0.824,0.176,,,
0.4,381.04,0.897,0.103,0.773,0.227,,,
0.4,380.69,0.892,0.108,0.764,0.236,,,
0.4,380.66,0.885,0.115,0.749,0.251,,,
0.4,380.37,0.875,0.125,0.744,0.256,,,
0.4,380.27,0.87,0.13,0.734,0.266,,,
0.4,380.09,0.857,0.143,0.724,0.276,,,
0.4,379.57,0.826,0.174,0.703,0.297,,,
0.4,379.2,0.795,0.205,0.666,0.334,,,
0.4,378.81,0.765,0.235,0.642,0.358,,,
0.4,378.57,0.742,0.258,0.626,0.374,,,
0.4,378.64,0.729,0.271,0.619,0.381,,,
0.4,378.59,0.719,0.281,0.617,0.383,,,
0.4,378.44,0.698,0.302,0.605,0.395,,,
0.4,378.39,0.69,0.31,0.602,0.398,,,
0.4,378.4,0.692,0.308,0.602,0.398,,,
0.4,378.17,0.641,0.359,0.579,0.421,,,
0.4,378.09,0.621,0.379,0.571,0.429,,,
0.4,378.09,0.552,0.448,0.543,0.457,,,
0.4,377.93,0.493,0.507,0.522,0.478,,,
0.4,377.98,0.463,0.537,0.512,0.488,,,
0.4,378.18,0.402,0.598,0.491,0.509,,,
0.4,378.32,0.359,0.641,0.477,0.523,,,
0.4,378.78,0.318,0.682,0.47,0.53,,,
0.4,378.49,0.323,0.677,0.466,0.534,,,
0.4,379.16,0.254,0.746,0.44,0.56,,,
0.4,379.59,0.216,0.784,0.422,0.578,,,
0.4,379.95,0.211,0.789,0.418,0.582,,,
0.4,379.76,0.209,0.791,0.416,0.584,,,
0.4,380.17,0.188,0.812,0.411,0.589,,,
0.4,380.46,0.182,0.818,0.393,0.607,,,
0.4,381.03,0.151,0.849,0.375,0.625,,,
0.4,382.71,0.101,0.899,0.324,0.676,,,
0.4,383.36,0.095,0.905,0.308,0.692,,,
0.4,383.85,0.09,0.91,0.288,0.712,,,
0.4,385.23,0.061,0.939,0.242,0.758,,,
0.4,385.89,0.059,0.941,0.219,0.781,,,
0.4,389.38,0.022,0.978,0.1,0.9,,,
0.4,390.17,0.016,0.984,0.068,0.932,,,
0.4,392.17,0,1,0,1,,,
